from,to,day_of_week,count
2585762,2585774,Friday,68
2585774,2585787,Friday,68
2585774,4585378,Friday,68
2585779,2585467,Friday,68
2585785,2585770,Friday,68
2585893,2585888,Friday,68
2585919,2585358,Friday,68
2585939,2585452,Friday,68
2585954,2585951,Friday,68
2586018,2585466,Friday,68
2586034,2585992,Friday,68
2681672,2585381,Friday,68
2585263,2585924,Friday,67
2585283,2585267,Friday,67
2585311,2585306,Friday,67
2585313,2585304,Friday,67
2585317,2585396,Friday,67
2585326,2585369,Friday,67
2585346,2585400,Friday,67
2585368,2585453,Friday,67
2585380,2585358,Friday,67
2585398,2585762,Friday,67
2585417,2585317,Friday,67
2585466,2585987,Friday,67
2585467,2585477,Friday,67
2585699,2585430,Friday,67
2585787,2585776,Friday,67
2585799,2585837,Friday,67
2585814,2585821,Friday,67
2585827,2585838,Friday,67
2585838,2585860,Friday,67
2585868,2585863,Friday,67
2585899,2585856,Friday,67
2585899,2585868,Friday,67
2585951,2585954,Friday,67
2586021,3110680,Friday,67
2585288,2585291,Friday,66
2585291,2585285,Friday,66
2585345,2585301,Friday,66
2585364,2585367,Friday,66
2585387,2585381,Friday,66
2585387,2585984,Friday,66
2585413,2585438,Friday,66
2585445,2585737,Friday,66
2585466,2586012,Friday,66
2585467,2585724,Friday,66
2585748,2585921,Friday,66
2585770,2585762,Friday,66
2585782,2585785,Friday,66
2585789,2585791,Friday,66
2585827,2585789,Friday,66
2585899,2585905,Friday,66
2585954,2585938,Friday,66
2586003,2586018,Friday,66
3318682,2585772,Friday,66
172294162,2585846,Friday,66
2585301,2585313,Friday,65
2585308,2585307,Friday,65
2585315,2585984,Friday,65
2585317,2585368,Friday,65
2585334,2681601,Friday,65
2585381,2585389,Friday,65
2585408,4393742,Friday,65
2585413,2585402,Friday,65
2585455,2585398,Friday,65
2585457,2585396,Friday,65
2585776,2585787,Friday,65
2585799,2585789,Friday,65
2585802,2585789,Friday,65
2585817,2585267,Friday,65
2585856,2585897,Friday,65
2585875,2585905,Friday,65
2585876,2585899,Friday,65
2585888,2585838,Friday,65
2585922,2585925,Friday,65
2585926,2585922,Friday,65
2585972,2586031,Friday,65
2586026,2586044,Friday,65
2586044,2586028,Friday,65
3110680,2586026,Friday,65
2585317,2585380,Friday,64
2585327,4215025,Friday,64
2585327,4393742,Friday,64
2585344,2586037,Friday,64
2585367,2585364,Friday,64
